_id,Date,Gender,Race,Age at Booking,Current Age
369,2018-08-06,M,B,24,25
370,2018-08-06,M,B,40,41
371,2018-08-06,M,W,29,30
372,2018-08-06,M,B,26,26
373,2018-08-06,M,W,27,28
374,2018-08-06,M,B,17,18
375,2018-08-06,M,B,48,49
376,2018-08-06,M,W,41,41
377,2018-08-06,M,W,39,39
378,2018-08-06,M,W,44,44
379,2018-08-06,M,B,23,23
380,2018-08-06,M,W,43,43
381,2018-08-06,M,B,20,20
382,2018-08-06,M,W,38,39
383,2018-08-06,M,W,38,38
384,2018-08-06,M,W,22,23
385,2018-08-06,M,W,24,24
386,2018-08-06,M,W,32,32
387,2018-08-06,M,W,56,56
388,2018-08-06,M,W,30,31
389,2018-08-06,M,W,37,37
390,2018-08-06,M,B,20,20
391,2018-08-06,M,W,24,24
392,2018-08-06,M,B,31,31
393,2018-08-06,M,W,38,38
394,2018-08-06,M,B,38,38
395,2018-08-06,M,W,28,28
396,2018-08-06,M,B,26,27
397,2018-08-06,M,W,31,31
398,2018-08-06,M,W,53,53
399,2018-08-06,M,W,37,37
400,2018-08-06,M,W,31,32
401,2018-08-06,M,B,37,37
402,2018-08-06,M,W,22,22
403,2018-08-06,M,B,18,18
404,2018-08-06,M,W,54,54
405,2018-08-06,M,W,34,34
406,2018-08-06,M,H,26,27
407,2018-08-06,M,W,42,43
408,2018-08-06,M,W,41,42
409,2018-08-06,M,W,37,39
410,2018-08-06,M,B,52,53
411,2018-08-06,M,B,26,28
412,2018-08-06,M,B,36,37
413,2018-08-06,M,W,30,31
414,2018-08-06,M,W,32,33
415,2018-08-06,M,B,20,21
416,2018-08-06,M,B,21,21
417,2018-08-06,M,W,51,52
418,2018-08-06,M,W,36,37
419,2018-08-06,M,W,40,41
420,2018-08-06,M,B,18,19
421,2018-08-06,M,B,25,25
422,2018-08-06,M,B,21,22
423,2018-08-06,M,B,21,22
424,2018-08-06,M,B,24,25
425,2018-08-06,M,W,27,27
426,2018-08-06,M,W,30,31
427,2018-08-06,M,B,47,47
428,2018-08-06,M,W,21,21
429,2018-08-06,M,W,32,32
430,2018-08-06,M,B,29,30
431,2018-08-06,M,W,26,26
432,2018-08-06,M,B,22,23
433,2018-08-06,M,B,27,27
434,2018-08-06,M,B,39,39
435,2018-08-06,M,B,21,22
436,2018-08-06,M,W,28,28
437,2018-08-06,M,W,41,42
438,2018-08-06,M,W,19,19
439,2018-08-06,M,B,37,38
440,2018-08-06,M,B,21,22
441,2018-08-06,M,B,24,24
442,2018-08-06,M,W,20,20
443,2018-08-06,M,B,54,54
444,2018-08-06,M,W,36,36
445,2018-08-06,M,B,46,46
446,2018-08-06,M,W,24,25
447,2018-08-06,M,W,41,42
448,2018-08-06,M,B,20,21
449,2018-08-06,M,B,23,24
450,2018-08-06,M,W,51,52
451,2018-08-06,M,B,59,59
452,2018-08-06,M,W,34,34
453,2018-08-06,M,W,28,28
454,2018-08-06,M,W,48,49
455,2018-08-06,M,W,28,28
456,2018-08-06,M,B,58,58
457,2018-08-06,M,W,40,40
458,2018-08-06,M,B,28,28
459,2018-08-06,M,W,26,26
460,2018-08-06,M,W,29,29
